"","metrics","variableID","value"
"1","Corr","x1","0.30"
"2","Lasso","x1","0.79"
"3","MIC","x1","0.39"
"4","Corr","x2","0.44"
"5","Lasso","x2","0.83"
"6","MIC","x2","0.61"
"7","Corr","x3","0.00"
"8","Lasso","x3","0.00"
"9","MIC","x3","0.34"
"10","Corr","x4","1.00"
"11","Lasso","x4","1.00"
"12","MIC","x4","1.00"
"13","Corr","x5","0.10"
"14","Lasso","x5","0.51"
"15","MIC","x5","0.20"
"16","Corr","x6","0.00"
"17","Lasso","x6","0.00"
"18","MIC","x6","0.00"
"19","Corr","x7","0.01"
"20","Lasso","x7","0.00"
"21","MIC","x7","0.07"
"22","Corr","x8","0.02"
"23","Lasso","x8","0.00"
"24","MIC","x8","0.05"
"25","Corr","x9","0.01"
"26","Lasso","x9","0.00"
"27","MIC","x9","0.09"
"28","Corr","x10","0.00"
"29","Lasso","x10","0.00"
"30","MIC","x10","0.04"
"31","Corr","x11","0.29"
"32","Lasso","x11","0.00"
"33","MIC","x11","0.43"
"34","Corr","x12","0.44"
"35","Lasso","x12","0.00"
"36","MIC","x12","0.71"
"37","Corr","x13","0.00"
"38","Lasso","x13","0.00"
"39","MIC","x13","0.23"
"40","Corr","x14","0.99"
"41","Lasso","x14","0.16"
"42","MIC","x14","1.00"
